what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1268316642499
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1268316642550
started,bundle,org.eclipse.ant.core,3.2.101.v20091110_r352,"org.eclipse.ant.core",1268316642691
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1268316643128
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1268316644676
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316645377
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316662973
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268316663126
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316664002
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316729171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268316739193
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268316746050
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316750635
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316774565
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268316774713
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316789311
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316821781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316855393
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316855874
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268316943557
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268316947418
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268316959130
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268317642609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268317677420
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268317678144
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268317685946
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268318112071
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268318124728
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268352566386
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268352568720
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268352726945
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1268352727484
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1268352727506
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1268352727543
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1268352727558
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1268352727558
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1268352727583
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1268352727583
